defined_class	defined_class_label	cell_type	cell_type_label
http://purl.obolibrary.org/obo/GO_0003292	cardiac septum cell differentiation	http://purl.obolibrary.org/obo/CL_2000022	cardiac septum cell
http://purl.obolibrary.org/obo/GO_0010002	cardioblast differentiation	http://purl.obolibrary.org/obo/CL_0002664	cardioblast
http://purl.obolibrary.org/obo/GO_0035051	cardiocyte differentiation	http://purl.obolibrary.org/obo/CL_0002494	cardiocyte
http://purl.obolibrary.org/obo/GO_0021953	central nervous system neuron differentiation	http://purl.obolibrary.org/obo/CL_2000029	central nervous system neuron
http://purl.obolibrary.org/obo/GO_0021701	cerebellar Golgi cell differentiation	http://purl.obolibrary.org/obo/CL_0000119	cerebellar Golgi cell
http://purl.obolibrary.org/obo/GO_0021702	cerebellar Purkinje cell differentiation	http://purl.obolibrary.org/obo/CL_0000121	Purkinje cell
http://purl.obolibrary.org/obo/GO_0021707	cerebellar granule cell differentiation	http://purl.obolibrary.org/obo/CL_0001031	cerebellar granule cell
http://purl.obolibrary.org/obo/GO_0021710	cerebellar stellate cell differentiation	http://purl.obolibrary.org/obo/CL_0010010	cerebellar stellate cell
http://purl.obolibrary.org/obo/GO_0021892	cerebral cortex GABAergic interneuron differentiation	http://purl.obolibrary.org/obo/CL_0010011	cerebral cortex GABAergic interneuron
http://purl.obolibrary.org/obo/GO_0021895	cerebral cortex neuron differentiation	http://purl.obolibrary.org/obo/CL_0010012	cerebral cortex neuron
http://purl.obolibrary.org/obo/GO_0060591	chondroblast differentiation	http://purl.obolibrary.org/obo/CL_0000058	chondroblast
http://purl.obolibrary.org/obo/GO_0002062	chondrocyte differentiation	http://purl.obolibrary.org/obo/CL_0000138	chondrocyte
http://purl.obolibrary.org/obo/GO_0060718	chorionic trophoblast cell differentiation	http://purl.obolibrary.org/obo/CL_0011101	chorionic trophoblast cell
http://purl.obolibrary.org/obo/GO_0060486	club cell differentiation	http://purl.obolibrary.org/obo/CL_0000158	club cell
http://purl.obolibrary.org/obo/GO_0002065	columnar/cuboidal epithelial cell differentiation	http://purl.obolibrary.org/obo/CL_0000075	columnar/cuboidal epithelial cell
http://purl.obolibrary.org/obo/GO_0042675	compound eye cone cell differentiation	http://purl.obolibrary.org/obo/CL_0000718	compound eye cone cell
http://purl.obolibrary.org/obo/GO_0001751	compound eye photoreceptor cell differentiation	http://purl.obolibrary.org/obo/CL_2000019	compound eye photoreceptor cell
http://purl.obolibrary.org/obo/GO_1904390	cone retinal bipolar cell differentiation	http://purl.obolibrary.org/obo/CL_0000752	cone retinal bipolar cell
http://purl.obolibrary.org/obo/GO_0060128	corticotropin hormone secreting cell differentiation	http://purl.obolibrary.org/obo/CL_0000467	adrenocorticotropic hormone secreting cell
http://purl.obolibrary.org/obo/GO_0042688	crystal cell differentiation	http://purl.obolibrary.org/obo/CL_0000392	crystal cell
http://purl.obolibrary.org/obo/GO_0001549	cumulus cell differentiation	http://purl.obolibrary.org/obo/CL_0000711	cumulus cell
http://purl.obolibrary.org/obo/GO_0048774	cyanophore differentiation	http://purl.obolibrary.org/obo/CL_0000747	cyanophore
http://purl.obolibrary.org/obo/GO_0045065	cytotoxic T cell differentiation	http://purl.obolibrary.org/obo/CL_0000910	cytotoxic T cell
http://purl.obolibrary.org/obo/GO_0097028	dendritic cell differentiation	http://purl.obolibrary.org/obo/CL_0000451	dendritic cell
http://purl.obolibrary.org/obo/GO_0061322	disseminated nephrocyte differentiation	http://purl.obolibrary.org/obo/CL_0002524	disseminated nephrocyte
http://purl.obolibrary.org/obo/GO_0071542	dopaminergic neuron differentiation	http://purl.obolibrary.org/obo/CL_0000700	dopaminergic neuron
http://purl.obolibrary.org/obo/GO_0010668	ectodermal cell differentiation	http://purl.obolibrary.org/obo/CL_0000221	ectodermal cell
http://purl.obolibrary.org/obo/GO_0035165	embryonic crystal cell differentiation	http://purl.obolibrary.org/obo/CL_0000715	embryonic crystal cell
http://purl.obolibrary.org/obo/GO_0060956	endocardial cell differentiation	http://purl.obolibrary.org/obo/CL_0002350	endocardial cell
