defined_class	defined_class_label	participant	participant_label
http://purl.obolibrary.org/obo/GO_1901023	4-hydroxyphenylacetate catabolic process	http://purl.obolibrary.org/obo/CHEBI_48999	4-hydroxyphenylacetate
http://purl.obolibrary.org/obo/GO_0019470	4-hydroxyproline catabolic process	http://purl.obolibrary.org/obo/CHEBI_63137	4-hydroxyproline zwitterion
http://purl.obolibrary.org/obo/GO_0046196	4-nitrophenol catabolic process	http://purl.obolibrary.org/obo/CHEBI_57917	4-nitrophenolate
http://purl.obolibrary.org/obo/GO_0019258	4-nitrotoluene catabolic process	http://purl.obolibrary.org/obo/CHEBI_35227	4-nitrotoluene
http://purl.obolibrary.org/obo/GO_0019612	4-toluenecarboxylate catabolic process	http://purl.obolibrary.org/obo/CHEBI_28856	p-toluate
http://purl.obolibrary.org/obo/GO_1901284	5,6,7,8-tetrahydromethanopterin catabolic process	http://purl.obolibrary.org/obo/CHEBI_58103	5,6,7,8-tetrahydromethanopterin(3-)
http://purl.obolibrary.org/obo/GO_1901854	5,6,7,8-tetrahydrosarcinapterin catabolic process	http://purl.obolibrary.org/obo/CHEBI_59924	5,6,7,8-tetrahydrosarcinapterin(4-)
http://purl.obolibrary.org/obo/GO_0006211	5-methylcytosine catabolic process	http://purl.obolibrary.org/obo/CHEBI_27551	5-methylcytosine
http://purl.obolibrary.org/obo/GO_1901948	5alpha,9alpha,10beta-labda-8(20),13-dien-15-yl diphosphate catabolic process	http://purl.obolibrary.org/obo/CHEBI_58635	5alpha,9alpha,10beta-labda-8(20),13-dien-15-yl diphosphate(3-)
http://purl.obolibrary.org/obo/GO_0051681	6-alpha-maltosylglucose catabolic process	http://purl.obolibrary.org/obo/CHEBI_28191	6-alpha-maltosylglucose
http://purl.obolibrary.org/obo/GO_0019639	6-hydroxycineole catabolic process	http://purl.obolibrary.org/obo/CHEBI_16271	2-exo-hydroxy-1,8-cineole
http://purl.obolibrary.org/obo/GO_1902777	6-sulfoquinovose(1-) catabolic process	http://purl.obolibrary.org/obo/CHEBI_77132	6-sulfo-D-quinovose(1-)
http://purl.obolibrary.org/obo/GO_1901851	7,8-didemethyl-8-hydroxy-5-deazariboflavin catabolic process	http://purl.obolibrary.org/obo/CHEBI_59904	7,8-didemethyl-8-hydroxy-5-deazariboflavin(1-)
http://purl.obolibrary.org/obo/GO_0046119	7-methylguanosine catabolic process	http://purl.obolibrary.org/obo/CHEBI_20794	7-methylguanosine
http://purl.obolibrary.org/obo/GO_0046032	ADP catabolic process	http://purl.obolibrary.org/obo/CHEBI_456216	ADP(3-)
http://purl.obolibrary.org/obo/GO_0006196	AMP catabolic process	http://purl.obolibrary.org/obo/CHEBI_456215	adenosine 5'-monophosphate(2-)
http://purl.obolibrary.org/obo/GO_0008208	C21-steroid hormone catabolic process	http://purl.obolibrary.org/obo/CHEBI_64600	C21-steroid hormone
http://purl.obolibrary.org/obo/GO_0046706	CDP catabolic process	http://purl.obolibrary.org/obo/CHEBI_58069	CDP(3-)
http://purl.obolibrary.org/obo/GO_0046342	CDP-diacylglycerol catabolic process	http://purl.obolibrary.org/obo/CHEBI_58332	CDP-diacylglycerol(2-)
http://purl.obolibrary.org/obo/GO_0006248	CMP catabolic process	http://purl.obolibrary.org/obo/CHEBI_60377	cytidine 5'-monophosphate(2-)
http://purl.obolibrary.org/obo/GO_0006254	CTP catabolic process	http://purl.obolibrary.org/obo/CHEBI_37563	CTP(4-)
http://purl.obolibrary.org/obo/GO_0055130	D-alanine catabolic process	http://purl.obolibrary.org/obo/CHEBI_57416	D-alanine zwitterion
http://purl.obolibrary.org/obo/GO_0019316	D-allose catabolic process	http://purl.obolibrary.org/obo/CHEBI_17393	D-allose
http://purl.obolibrary.org/obo/GO_0019478	D-amino acid catabolic process	http://purl.obolibrary.org/obo/CHEBI_59871	D-alpha-amino acid zwitterion
http://purl.obolibrary.org/obo/GO_0019571	D-arabinose catabolic process	http://purl.obolibrary.org/obo/CHEBI_17108	D-arabinose
http://purl.obolibrary.org/obo/GO_0051159	D-arabitol catabolic process	http://purl.obolibrary.org/obo/CHEBI_18333	D-arabinitol
http://purl.obolibrary.org/obo/GO_0019447	D-cysteine catabolic process	http://purl.obolibrary.org/obo/CHEBI_35236	D-cysteine zwitterion
http://purl.obolibrary.org/obo/GO_0034194	D-galactonate catabolic process	http://purl.obolibrary.org/obo/CHEBI_12931	D-galactonate
http://purl.obolibrary.org/obo/GO_0019698	D-galacturonate catabolic process	http://purl.obolibrary.org/obo/CHEBI_12952	aldehydo-D-galacturonate
http://purl.obolibrary.org/obo/GO_0042838	D-glucarate catabolic process	http://purl.obolibrary.org/obo/CHEBI_30612	D-glucarate(2-)
http://purl.obolibrary.org/obo/GO_0046177	D-gluconate catabolic process	http://purl.obolibrary.org/obo/CHEBI_18391	D-gluconate
http://purl.obolibrary.org/obo/GO_0042840	D-glucuronate catabolic process	http://purl.obolibrary.org/obo/CHEBI_15748	D-glucuronate
http://purl.obolibrary.org/obo/GO_1900832	D-leucine catabolic process	http://purl.obolibrary.org/obo/CHEBI_143079	D-leucine zwitterion
http://purl.obolibrary.org/obo/GO_0019476	D-lysine catabolic process	http://purl.obolibrary.org/obo/CHEBI_32557	D-lysinium(1+)
http://purl.obolibrary.org/obo/GO_1901279	D-ribose 5-phosphate catabolic process	http://purl.obolibrary.org/obo/CHEBI_58273	aldehydo-D-ribose 5-phosphate(2-)
http://purl.obolibrary.org/obo/GO_0019303	D-ribose catabolic process	http://purl.obolibrary.org/obo/CHEBI_16988	D-ribose
http://purl.obolibrary.org/obo/GO_0036088	D-serine catabolic process	http://purl.obolibrary.org/obo/CHEBI_35247	D-serine zwitterion
http://purl.obolibrary.org/obo/GO_2001059	D-tagatose 6-phosphate catabolic process	http://purl.obolibrary.org/obo/CHEBI_17837	D-tagatose 6-phosphate
http://purl.obolibrary.org/obo/GO_1900829	D-tyrosine catabolic process	http://purl.obolibrary.org/obo/CHEBI_58570	D-tyrosine zwitterion
