defined_class	defined_class_label	participant	participant_label
http://purl.obolibrary.org/obo/GO_1902200	3-methylbut-2-enoyl-CoA(4-) biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_57344	3-methylbut-2-enoyl-CoA(4-)
http://purl.obolibrary.org/obo/GO_1901015	3alpha(S)-strictosidine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58193	3alpha(S)-strictosidinium(1+)
http://purl.obolibrary.org/obo/GO_0048107	4-amino-3-isothiazolidinone biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_64599	4-amino-3-isothiazolidinone
http://purl.obolibrary.org/obo/GO_0036108	4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58711	4-azaniumyl-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate
http://purl.obolibrary.org/obo/GO_1901884	4-hydroxycoumarin biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_77858	4-hydroxycoumarin(1-)
http://purl.obolibrary.org/obo/GO_1901024	4-hydroxyphenylacetate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_48999	4-hydroxyphenylacetate
http://purl.obolibrary.org/obo/GO_0019472	4-hydroxyproline biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_63137	4-hydroxyproline zwitterion
http://purl.obolibrary.org/obo/GO_1901285	5,6,7,8-tetrahydromethanopterin biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58103	5,6,7,8-tetrahydromethanopterin(3-)
http://purl.obolibrary.org/obo/GO_1901855	5,6,7,8-tetrahydrosarcinapterin biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_59924	5,6,7,8-tetrahydrosarcinapterin(4-)
http://purl.obolibrary.org/obo/GO_0046082	5-methylcytosine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_27551	5-methylcytosine
http://purl.obolibrary.org/obo/GO_0006015	5-phosphoribose 1-diphosphate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58017	5-O-phosphonato-alpha-D-ribofuranosyl diphosphate(5-)
http://purl.obolibrary.org/obo/GO_1901949	5alpha,9alpha,10beta-labda-8(20),13-dien-15-yl diphosphate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58635	5alpha,9alpha,10beta-labda-8(20),13-dien-15-yl diphosphate(3-)
http://purl.obolibrary.org/obo/GO_0051680	6-alpha-maltosylglucose biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_28191	6-alpha-maltosylglucose
http://purl.obolibrary.org/obo/GO_1901852	7,8-didemethyl-8-hydroxy-5-deazariboflavin biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_59904	7,8-didemethyl-8-hydroxy-5-deazariboflavin(1-)
http://purl.obolibrary.org/obo/GO_0035998	7,8-dihydroneopterin 3'-triphosphate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58462	7,8-dihydroneopterin 3'-triphosphate(4-)
http://purl.obolibrary.org/obo/GO_0097288	7-cyano-7-deazaguanine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_45075	7-cyano-7-deazaguanine
http://purl.obolibrary.org/obo/GO_0046118	7-methylguanosine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_20794	7-methylguanosine
http://purl.obolibrary.org/obo/GO_0042904	9-cis-retinoic acid biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_78630	9-cis-retinoate
http://purl.obolibrary.org/obo/GO_0006172	ADP biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_456216	ADP(3-)
http://purl.obolibrary.org/obo/GO_0097171	ADP-L-glycero-beta-D-manno-heptose biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_61506	ADP-L-glycero-beta-D-manno-heptose(2-)
http://purl.obolibrary.org/obo/GO_0006167	AMP biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_456215	adenosine 5'-monophosphate(2-)
http://purl.obolibrary.org/obo/GO_0006754	ATP biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_30616	ATP(4-)
http://purl.obolibrary.org/obo/GO_0006700	C21-steroid hormone biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_64600	C21-steroid hormone
http://purl.obolibrary.org/obo/GO_0045222	CD4 biosynthetic process	http://purl.obolibrary.org/obo/PR_000001004	CD4 molecule
http://purl.obolibrary.org/obo/GO_0046705	CDP biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58069	CDP(3-)
http://purl.obolibrary.org/obo/GO_0016024	CDP-diacylglycerol biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58332	CDP-diacylglycerol(2-)
http://purl.obolibrary.org/obo/GO_0009224	CMP biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_60377	cytidine 5'-monophosphate(2-)
http://purl.obolibrary.org/obo/GO_0006055	CMP-N-acetylneuraminate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_57812	CMP-N-acetyl-beta-neuraminate(2-)
http://purl.obolibrary.org/obo/GO_0033468	CMP-keto-3-deoxy-D-manno-octulosonic acid biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_59825	CMP-3-deoxy-alpha-D-manno-octulosonate(2-)
http://purl.obolibrary.org/obo/GO_0006241	CTP biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_37563	CTP(4-)
http://purl.obolibrary.org/obo/GO_0030632	D-alanine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_57416	D-alanine zwitterion
http://purl.obolibrary.org/obo/GO_0019315	D-allose biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_17393	D-allose
http://purl.obolibrary.org/obo/GO_0046437	D-amino acid biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_59871	D-alpha-amino acid zwitterion
http://purl.obolibrary.org/obo/GO_0033482	D-galacturonate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_12952	aldehydo-D-galacturonate
http://purl.obolibrary.org/obo/GO_0042837	D-glucarate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_30612	D-glucarate(2-)
http://purl.obolibrary.org/obo/GO_0046178	D-gluconate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_18391	D-gluconate
