defined_class	defined_class_label	participant	participant_label
http://purl.obolibrary.org/obo/GO_0051163	D-arabitol metabolic process	http://purl.obolibrary.org/obo/CHEBI_18333	D-arabinitol
http://purl.obolibrary.org/obo/GO_0033055	D-arginine metabolic process	http://purl.obolibrary.org/obo/CHEBI_32689	D-argininium(1+)
http://purl.obolibrary.org/obo/GO_0046438	D-cysteine metabolic process	http://purl.obolibrary.org/obo/CHEBI_35236	D-cysteine zwitterion
http://purl.obolibrary.org/obo/GO_0034192	D-galactonate metabolic process	http://purl.obolibrary.org/obo/CHEBI_12931	D-galactonate
http://purl.obolibrary.org/obo/GO_0046396	D-galacturonate metabolic process	http://purl.obolibrary.org/obo/CHEBI_12952	aldehydo-D-galacturonate
http://purl.obolibrary.org/obo/GO_0042836	D-glucarate metabolic process	http://purl.obolibrary.org/obo/CHEBI_30612	D-glucarate(2-)
http://purl.obolibrary.org/obo/GO_0019521	D-gluconate metabolic process	http://purl.obolibrary.org/obo/CHEBI_18391	D-gluconate
http://purl.obolibrary.org/obo/GO_0042839	D-glucuronate metabolic process	http://purl.obolibrary.org/obo/CHEBI_15748	D-glucuronate
http://purl.obolibrary.org/obo/GO_0033054	D-glutamate metabolic process	http://purl.obolibrary.org/obo/CHEBI_29986	D-glutamate(1-)
http://purl.obolibrary.org/obo/GO_0033053	D-glutamine metabolic process	http://purl.obolibrary.org/obo/CHEBI_58000	D-glutamine zwitterion
http://purl.obolibrary.org/obo/GO_2001060	D-glycero-D-manno-heptose 7-phosphate metabolic process	http://purl.obolibrary.org/obo/CHEBI_59955	D-glycero-D-manno-heptose 7-phosphate(2-)
http://purl.obolibrary.org/obo/GO_1900831	D-leucine metabolic process	http://purl.obolibrary.org/obo/CHEBI_143079	D-leucine zwitterion
http://purl.obolibrary.org/obo/GO_0046441	D-lysine metabolic process	http://purl.obolibrary.org/obo/CHEBI_32557	D-lysinium(1+)
http://purl.obolibrary.org/obo/GO_0033056	D-ornithine metabolic process	http://purl.obolibrary.org/obo/CHEBI_57668	D-ornithinium(1+)
http://purl.obolibrary.org/obo/GO_1901278	D-ribose 5-phosphate metabolic process	http://purl.obolibrary.org/obo/CHEBI_58273	aldehydo-D-ribose 5-phosphate(2-)
http://purl.obolibrary.org/obo/GO_0006014	D-ribose metabolic process	http://purl.obolibrary.org/obo/CHEBI_16988	D-ribose
http://purl.obolibrary.org/obo/GO_0070178	D-serine metabolic process	http://purl.obolibrary.org/obo/CHEBI_35247	D-serine zwitterion
http://purl.obolibrary.org/obo/GO_2001058	D-tagatose 6-phosphate metabolic process	http://purl.obolibrary.org/obo/CHEBI_17837	D-tagatose 6-phosphate
http://purl.obolibrary.org/obo/GO_1900828	D-tyrosine metabolic process	http://purl.obolibrary.org/obo/CHEBI_58570	D-tyrosine zwitterion
http://purl.obolibrary.org/obo/GO_1902114	D-valine metabolic process	http://purl.obolibrary.org/obo/CHEBI_74338	D-valine zwitterion
http://purl.obolibrary.org/obo/GO_0042732	D-xylose metabolic process	http://purl.obolibrary.org/obo/CHEBI_15936	aldehydo-D-xylose
http://purl.obolibrary.org/obo/GO_0006259	DNA metabolic process	http://purl.obolibrary.org/obo/CHEBI_16991	deoxyribonucleic acid
http://purl.obolibrary.org/obo/GO_1900609	F-9775A metabolic process	http://purl.obolibrary.org/obo/CHEBI_64405	F-9775A
http://purl.obolibrary.org/obo/GO_1900612	F-9775B metabolic process	http://purl.obolibrary.org/obo/CHEBI_64409	F-9775B
http://purl.obolibrary.org/obo/GO_0052645	F420-0 metabolic process	http://purl.obolibrary.org/obo/CHEBI_59907	F420-0(3-)
http://purl.obolibrary.org/obo/GO_0046443	FAD metabolic process	http://purl.obolibrary.org/obo/CHEBI_57692	FAD(3-)
http://purl.obolibrary.org/obo/GO_0006746	FADH2 metabolic process	http://purl.obolibrary.org/obo/CHEBI_58307	FADH2(2-)
http://purl.obolibrary.org/obo/GO_0046444	FMN metabolic process	http://purl.obolibrary.org/obo/CHEBI_58210	FMN(3-)
http://purl.obolibrary.org/obo/GO_0046710	GDP metabolic process	http://purl.obolibrary.org/obo/CHEBI_58189	GDP(3-)
http://purl.obolibrary.org/obo/GO_0046382	GDP-D-rhamnose metabolic process	http://purl.obolibrary.org/obo/CHEBI_58224	GDP-6-deoxy-alpha-D-mannose(2-)
http://purl.obolibrary.org/obo/GO_0046368	GDP-L-fucose metabolic process	http://purl.obolibrary.org/obo/CHEBI_57984	GDP-L-fucose(2-)
http://purl.obolibrary.org/obo/GO_0033471	GDP-L-galactose metabolic process	http://purl.obolibrary.org/obo/CHEBI_58355	GDP-L-galactose(2-)
http://purl.obolibrary.org/obo/GO_0046376	GDP-alpha-D-mannosylchitobiosyldiphosphodolichol metabolic process	http://purl.obolibrary.org/obo/CHEBI_21165	GDP-alpha-D-mannosylchitobiosyldiphosphodolichol
http://purl.obolibrary.org/obo/GO_0019673	GDP-mannose metabolic process	http://purl.obolibrary.org/obo/CHEBI_21168	GDP-mannose
http://purl.obolibrary.org/obo/GO_0046037	GMP metabolic process	http://purl.obolibrary.org/obo/CHEBI_58115	guanosine 5'-monophosphate(2-)
http://purl.obolibrary.org/obo/GO_0006505	GPI anchor metabolic process	http://purl.obolibrary.org/obo/CHEBI_24410	glycosylphosphatidylinositol
http://purl.obolibrary.org/obo/GO_0046039	GTP metabolic process	http://purl.obolibrary.org/obo/CHEBI_37565	GTP(4-)
http://purl.obolibrary.org/obo/GO_0046707	IDP metabolic process	http://purl.obolibrary.org/obo/CHEBI_58280	IDP(3-)
http://purl.obolibrary.org/obo/GO_0046040	IMP metabolic process	http://purl.obolibrary.org/obo/CHEBI_58053	IMP(2-)
http://purl.obolibrary.org/obo/GO_0046041	ITP metabolic process	http://purl.obolibrary.org/obo/CHEBI_61402	ITP(4-)
http://purl.obolibrary.org/obo/GO_0046375	K antigen metabolic process	http://purl.obolibrary.org/obo/CHEBI_73772	K antigen
http://purl.obolibrary.org/obo/GO_0036103	Kdo2-lipid A metabolic process	http://purl.obolibrary.org/obo/CHEBI_58540	(Kdo)2-lipid A(6-) (E. coli)
http://purl.obolibrary.org/obo/GO_0042851	L-alanine metabolic process	http://purl.obolibrary.org/obo/CHEBI_57972	L-alanine zwitterion
http://purl.obolibrary.org/obo/GO_1903662	L-altrarate metabolic process	http://purl.obolibrary.org/obo/CHEBI_37547	L-altrarate(2-)
http://purl.obolibrary.org/obo/GO_0046373	L-arabinose metabolic process	http://purl.obolibrary.org/obo/CHEBI_30849	L-arabinose
http://purl.obolibrary.org/obo/GO_0051162	L-arabitol metabolic process	http://purl.obolibrary.org/obo/CHEBI_18403	L-arabinitol
http://purl.obolibrary.org/obo/GO_0019852	L-ascorbic acid metabolic process	http://purl.obolibrary.org/obo/CHEBI_38290	L-ascorbate
http://purl.obolibrary.org/obo/GO_0070982	L-asparagine metabolic process	http://purl.obolibrary.org/obo/CHEBI_58048	L-asparagine zwitterion
http://purl.obolibrary.org/obo/GO_0046439	L-cysteine metabolic process	http://purl.obolibrary.org/obo/CHEBI_35235	L-cysteine zwitterion
http://purl.obolibrary.org/obo/GO_1903184	L-dopa metabolic process	http://purl.obolibrary.org/obo/CHEBI_57504	L-dopa zwitterion
http://purl.obolibrary.org/obo/GO_0042354	L-fucose metabolic process	http://purl.obolibrary.org/obo/CHEBI_18287	L-fucose
http://purl.obolibrary.org/obo/GO_0034193	L-galactonate metabolic process	http://purl.obolibrary.org/obo/CHEBI_53071	L-galactonate
http://purl.obolibrary.org/obo/GO_0097054	L-glutamate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_29985	L-glutamate(1-)
