defined_class	defined_class_label	input1	input1_label	input2	input2_label
http://purl.obolibrary.org/obo/GO_0043862	arginine:agmatine antiporter activity	http://purl.obolibrary.org/obo/CHEBI_32696	argininium(1+)	http://purl.obolibrary.org/obo/CHEBI_58145	agmatinium(2+)
http://purl.obolibrary.org/obo/GO_0043862	arginine:agmatine antiporter activity	http://purl.obolibrary.org/obo/CHEBI_58145	agmatinium(2+)	http://purl.obolibrary.org/obo/CHEBI_32696	argininium(1+)
http://purl.obolibrary.org/obo/GO_0043858	arginine:ornithine antiporter activity	http://purl.obolibrary.org/obo/CHEBI_32696	argininium(1+)	http://purl.obolibrary.org/obo/CHEBI_46912	ornithinium(1+)
http://purl.obolibrary.org/obo/GO_0043858	arginine:ornithine antiporter activity	http://purl.obolibrary.org/obo/CHEBI_46912	ornithinium(1+)	http://purl.obolibrary.org/obo/CHEBI_32696	argininium(1+)
http://purl.obolibrary.org/obo/GO_0070906	aspartate:alanine antiporter activity	http://purl.obolibrary.org/obo/CHEBI_35391	aspartate(1-)	http://purl.obolibrary.org/obo/CHEBI_66916	alanine zwitterion
http://purl.obolibrary.org/obo/GO_0070906	aspartate:alanine antiporter activity	http://purl.obolibrary.org/obo/CHEBI_66916	alanine zwitterion	http://purl.obolibrary.org/obo/CHEBI_35391	aspartate(1-)
http://purl.obolibrary.org/obo/GO_0045119	azole:proton antiporter activity	http://purl.obolibrary.org/obo/CHEBI_15378	hydron	http://purl.obolibrary.org/obo/CHEBI_68452	azole
http://purl.obolibrary.org/obo/GO_0045119	azole:proton antiporter activity	http://purl.obolibrary.org/obo/CHEBI_68452	azole	http://purl.obolibrary.org/obo/CHEBI_15378	hydron
http://purl.obolibrary.org/obo/GO_0015310	benomyl:proton antiporter activity	http://purl.obolibrary.org/obo/CHEBI_15378	hydron	http://purl.obolibrary.org/obo/CHEBI_3015	benomyl
http://purl.obolibrary.org/obo/GO_0015310	benomyl:proton antiporter activity	http://purl.obolibrary.org/obo/CHEBI_3015	benomyl	http://purl.obolibrary.org/obo/CHEBI_15378	hydron
http://purl.obolibrary.org/obo/GO_0140829	bicarbonate:monoatomic anion antiporter activity	http://purl.obolibrary.org/obo/CHEBI_17544	hydrogencarbonate	http://purl.obolibrary.org/obo/CHEBI_23905	monoatomic anion
