defined_class	defined_class_label	cargo	cargo_label
http://purl.obolibrary.org/obo/GO_0015796	galactitol transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_16813	galactitol
http://purl.obolibrary.org/obo/GO_0015757	galactose transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_28260	galactose
http://purl.obolibrary.org/obo/GO_0015737	galacturonate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_24175	galacturonate
http://purl.obolibrary.org/obo/GO_1905200	gibberellic acid transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_86644	Gibberellic acid
http://purl.obolibrary.org/obo/GO_0035429	gluconate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_24265	gluconate
http://purl.obolibrary.org/obo/GO_0051475	glucosylglycerol transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_24287	glucosylglycerol
http://purl.obolibrary.org/obo/GO_0015738	glucuronate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_24297	glucuronate
http://purl.obolibrary.org/obo/GO_0034775	glutathione transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_57925	glutathionate(1-)
http://purl.obolibrary.org/obo/GO_1901975	glycerate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_33871	glycerate
http://purl.obolibrary.org/obo/GO_0015793	glycerol transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_17754	glycerol
http://purl.obolibrary.org/obo/GO_0070811	glycerol-2-phosphate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_58083	glycerol 2-phosphate(2-)
http://purl.obolibrary.org/obo/GO_0015794	glycerol-3-phosphate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_57597	sn-glycerol 3-phosphate(2-)
http://purl.obolibrary.org/obo/GO_0001407	glycerophosphodiester transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_77847	glycerol 1-phosphodiester(1-)
http://purl.obolibrary.org/obo/GO_0097339	glycolate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_29805	glycolate
http://purl.obolibrary.org/obo/GO_1903790	guanine nucleotide transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_61292	guanyl nucleotide
