CHEBI	CHEBI_PH7_3	ORIGIN
3719	3719	computation
3721	140621	computation
3737	3737	computation
3740	3740	computation
3741	3741	computation
3743	3743	computation
3744	3743	computation
3748	3748	computation
3750	3750	computation
3751	3751	computation
3755	64209	computation
3756	3756	computation
3759	37941	computation
3761	59590	computation
3762	59590	computation
3764	3764	computation
3767	3767	computation
3768	3768	computation
3789	72780	computation
3790	60053	computation
3791	60060	computation
3792	60061	computation
3793	3793	computation
3794	60064	computation
3796	3796	computation
3806	3806	computation
3825	3825	computation
3826	3826	computation
3828	3828	computation
3829	3829	computation
3830	3830	computation
3844	3844	computation
3845	3845	computation
3846	3846	computation
3847	3847	computation
3850	3850	computation
3851	3851	computation
3854	3854	computation
3855	3855	computation
3856	3856	computation
3862	3862	computation
3863	3863	computation
3864	3864	computation
3865	3865	computation
3867	3867	computation
3869	3869	computation
3872	3872	computation
3882	3882	computation
3885	3885	computation
3887	146232	computation
3888	3888	computation
3889	3889	computation
3897	3897	computation
3898	3898	computation
3899	3899	computation
3900	3900	computation
3902	3902	computation
3903	3903	computation
3904	3904	computation
3905	3905	computation
3915	3915	computation
3916	3916	computation
3917	3917	computation
3918	62767	computation
3920	3920	computation
3921	3921	computation
3926	3926	computation
3927	3927	computation
3930	3930	computation
3935	3935	computation
3940	3940	computation
3941	3941	computation
3942	3942	computation
3943	3943	computation
3944	3944	computation
3945	3945	computation
3946	3946	computation
3947	3947	computation
3948	3948	computation
3949	3949	computation
3950	3950	computation
3951	3951	computation
3952	3952	computation
3953	3953	computation
3955	3955	computation
3956	3956	computation
3958	3958	computation
3961	3961	computation
3962	3962	computation
3964	3964	computation
3978	71511	computation
3980	3980	computation
3982	3982	computation
3985	3985	computation
3987	3987	computation
3988	3988	computation
3993	3993	computation
4001	4001	computation
4002	4002	computation
4003	50187	computation
4019	4019	computation
4026	4027	computation
4027	4027	computation
4031	4031	computation
4034	4034	computation
4035	4035	computation
4036	4036	computation
4038	4038	computation
4039	4039	computation
4040	4040	computation
4041	4041	computation
4042	4042	computation
4044	4044	computation
4045	4045	computation
4047	61694	computation
4077	4077	computation
4083	62213	computation
4093	4093	computation
4116	90796	computation
4117	4117	computation
4125	4125	computation
4126	59863	computation
4139	4139	computation
4141	91004	computation
4153	75525	computation
4167	4167	computation
4170	61548	computation
4174	4174	computation
4177	62495	computation
4188	59957	computation
4191	4191	computation
4208	4208	computation
4221	57668	computation
4222	61723	computation
4249	4249	computation
4250	58694	computation
4251	58695	computation
4280	58697	computation
4284	4284	computation
4290	124985	computation
4308	4308	computation
4310	4310	computation
4311	4311	computation
4313	4313	computation
4314	4314	computation
4315	4315	computation
4316	4316	computation
4317	4317	computation
4318	4317	computation
4320	4320	computation
4321	4321	computation
4324	4324	computation
4325	4325	computation
4329	4329	computation
4343	4343	computation
4344	4344	computation
4349	4349	computation
4352	4352	computation
